,BERT,Model1,Model2,MSC,Number of senses
see.v,0.8348017621145375,78.43 %,62.97 %,62.76 %,11
keep.v,0.7858455882352942,73.64 %,60.49 %,39.2 %,11
hold.v,0.6753670473083198,50.96 %,8.29 %,15.2 %,11
line.n,0.9216043755697356,93.47 %,83.17 %,85.12 %,11
follow.v,0.6567164179104478,62.13 %,11.09 %,14.59 %,11
find.v,0.689727463312369,65.73 %,19.91 %,23.18 %,10
build.v,0.38181818181818183,42.24 %,8.16 %,21.2 %,10
serve.v,0.7209705372616985,54.93 %,5.76 %,15.51 %,9
life.n,0.7566909975669099,70.26 %,27.91 %,22.47 %,9
force.n,0.7427536231884058,80.25 %,14.85 %,16.27 %,8
lead.v,0.5779092702169625,44.55 %,12.28 %,17.97 %,8
point.n,0.7065527065527065,74.55 %,39.22 %,35.55 %,8
regular.a,0.5251256281407035,59.38 %,25.72 %,21.73 %,8
bring.v,0.5932914046121593,51.19 %,10.56 %,21.17 %,8
case.n,0.4788732394366197,47.7 %,10.94 %,20.37 %,8
extend.v,0.6634241245136187,53.57 %,24.58 %,18.03 %,7
place.n,0.7223529411764706,69.23 %,20.43 %,24.29 %,7
security.n,0.775175644028103,81.47 %,14.96 %,20.33 %,7
physical.a,0.6038781163434903,61.76 %,25.5 %,23.64 %,6
position.n,0.7257281553398058,47.61 %,20.5 %,20.17 %,6
national.a,0.5650118203309693,73.62 %,0.91 %,20.46 %,6
active.a,0.7626459143968871,75.86 %,9.54 %,32.04 %,5
critical.a,0.7386018237082067,66.36 %,7.17 %,27.44 %,5
order.n,0.7525,65.45 %,30.05 %,21.96 %,5
professional.a,0.7737789203084833,76.38 %,23.25 %,21.76 %,5
time.n,0.6807511737089202,70.5 %,12.24 %,27.86 %,5
positive.a,0.6956521739130435,60.5 %,13.81 %,35.44 %,5
major.a,0.6644518272425249,50.85 %,1.71 %,30.33 %,4
bad.a,0.7624633431085044,77.51 %,49.09 %,60.74 %,4
common.a,0.6058201058201058,62.94 %,27.06 %,25.06 %,4
